Alamos Gold Inc.;1329;16;;;;
AerCap Holdings N.V.;338;20;;;;
Adams Resources & Energy, Inc.;1418;30;;;;
Roche Holding AG;753;16;;;;
Aratana Therapeutics, Inc.;62;26;;;;
Oil-Dri Corporation of America;1607;30;;;;
Nordic American Offshore Ltd.;1006;29;;;;
KAR Auction Services, Inc.;1882;26;;;;
Houston American Energy Corp.;1735;29;;;;
Aerohive Networks, Inc.;461;23;;;;
Fresenius Medical Care AG & Co. KGAA;527;36;;;;
Amdocs Limited;1896;14;;;;
CoreCivic, Inc.;531;15;;;;
Azure Midstream Partners, LP;1963;28;;;;
AXIS Capital Holdings Limited;303;29;;;;
American Axle & Manufacturing Holdings, Inc.;838;44;;;;
Avalon Holdings Corporation;1681;27;;;;
Avid Technology, Inc.;1723;21;;;;
Ascena Retail Group, Inc.;1249;25;;;;
On Assignment, Inc.;496;19;;;;
Ardelyx, Inc.;646;13;;;;
Accuray Incorporated;1150;20;;;;
Aquinox Pharmaceuticals, Inc.;779;29;;;;
Alpha Pro Tech, Ltd.;1515;20;;;;
Applied DNA Sciences, Inc.;1590;26;;;;
Ambac Financial Group, Inc.;762;27;;;;
Allegiant Travel Company;1806;24;;;;
Alon USA Partners, LP;693;21;;;;
Applied Industrial Technologies, Inc.;1062;37;;;;
Air Methods Corporation;632;23;;;;
Altra Industrial Motion Corp.;60;29;;;;
American Equity Investment Life Holding Company;785;47;;;;
Aehr Test Systems;903;17;;;;
Alcobra Ltd.;1098;12;;;;
Acura Pharmaceuticals, Inc.;267;27;;;;
Acadia Healthcare Company, Inc.;600;31;;;;
Atlantic Coast Financial Corporation;1753;36;;;;
ACCO Brands Corporation;838;23;;;;
Atlantica Yield plc;356;19;;;;
TravelCenters of America LLC;1837;28;;;;
Retail Properties of America, Inc.;851;34;;;;
Manhattan Associates, Inc.;617;26;;;;
Lamar Advertising Company;452;25;;;;
Kayne Anderson MLP Investment Company;1700;37;;;;
Aoxing Pharmaceutical Company, Inc.;1642;35;;;;
Astronics Corporation;1726;21;;;;
ATN International, Inc.;729;23;;;;
ARC Group Worldwide, Inc.;194;25;;;;
American Public Education, Inc.;840;31;;;;
Ampco-Pittsburgh Corporation;522;28;;;;
Anika Therapeutics, Inc.;1349;24;;;;
AngioDynamics, Inc.;1294;19;;;;
Apollo Residential Mortgage, Inc.;272;33;;;;
AmSurg Corp.;1778;12;;;;
Allied Motion Technologies Inc.;1137;31;;;;
Antero Midstream Partners LP;1703;28;;;;
Autoliv, Inc.;776;13;;;;
Analogic Corporation;982;20;;;;
Acadia Realty Trust;1210;19;;;;
Aegion Corporation;544;18;;;;
Adidas AG;1917;9;;;;
ZELTIQ Aesthetics, Inc.;1939;23;;;;
World Acceptance Corporation;1252;28;;;;
AMERCO;652;6;;;;
United States Antimony Corporation;1598;34;;;;
Sonic Automotive, Inc.;420;22;;;;
Republic Airways Holdings Inc.;1480;30;;;;
Natural Alternatives International, Inc.;84;40;;;;
Aquentium, Inc.;896;15;;;;
A.M. Castle & Co.;1318;17;;;;
Credit Acceptance Corporation;1815;29;;;;
Air Transport Services Group, Inc.;1210;34;;;;
American Science & Engineering Inc.;1670;35;;;;
Associated Banc-Corp;1587;20;;;;
Arotech Corporation;1912;19;;;;
Arrow Financial Corporation;1903;27;;;;
ArcBest Corporation;160;19;;;;
A-Mark Precious Metals, Inc.;1101;28;;;;
Alarm.Com Holdings, Inc.;1449;24;;;;
Ashford Hospitality Prime, Inc.;1164;31;;;;
Agile Therapeutics, Inc.;1194;24;;;;
Almost Family, Inc.;1592;19;;;;
AdCare Health Systems, Inc.;482;27;;;;
American Capital Senior Floating, Ltd.;1938;38;;;;
Autobytel Inc.;344;14;;;;
Abengoa SA;836;10;;;;
Ambev S.A.;1844;10;;;;
Cambium Learning Group, Inc.;223;28;;;;
Applied Optoelectronics, Inc.;1251;29;;;;
Universal Stainless & Alloy Products Inc;1094;40;;;;
State Auto Financial Corporation;1846;32;;;;
Extended Stay America, Inc.;727;27;;;;
Origin Agritech Limited;1196;23;;;;
Reinsurance Group of America, Incorporated;810;42;;;;
Industrial Services of America, Inc.;732;36;;;;
Harvard Apparatus Regenerative Technology, Inc.;1537;47;;;;
Aberdeen Chile Fund, Inc.;1180;25;;;;
China Eastern Airlines Corporation Limited;1436;42;;;;
Craft Brew Alliance, Inc.;1265;25;;;;
AMREP Corporation;1450;17;;;;
AVG Technologies N.V.;1139;21;;;;
American Vanguard Corporation;470;29;;;;
AudioCodes Ltd.;1188;15;;;;
Atrion Corporation;295;18;;;;
Atossa Genetics Inc.;470;20;;;;
ARC Document Solutions, Inc.;65;28;;;;
Apigee Corporation;870;18;;;;
Alpha and Omega Semiconductor Limited;1146;37;;;;
Alliance One International, Inc.;571;32;;;;
American Woodmark Corporation;1265;29;;;;
Alexza Pharmaceuticals Inc.;1900;27;;;;
Ally Financial Inc.;196;19;;;;
Air Industries Group;161;20;;;;
Alliance Fiber Optic Products Inc.;438;34;;;;
Arch Capital Group Ltd.;1662;23;;;;
Acorn Energy, Inc.;1939;18;;;;
Arbor Realty Trust, Inc.;518;24;;;;
Ameris Bancorp;615;14;;;;
Silvercrest Asset Management Group Inc.;264;39;;;;
Resource America, Inc.;499;22;;;;
FreightCar America, Inc.;262;24;;;;
Northstar Asset Management Group Inc.;529;37;;;;
AG Mortgage Investment Trust, Inc.;250;34;;;;
Advent/Claymore Enhanced Growth & Income Fund;73;45;;;;
Hannon Armstrong Sustainable Infrastructure Capital, Inc.;1002;57;;;;
GOL Linhas A√©reas Inteligentes S.A.;1487;36;;;;
Gildan Activewear Inc.;76;22;;;;
Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund;0;67;;;;
Atento S.A.;1050;11;;;;
AptarGroup, Inc.;1527;16;;;;
Actinium Pharmaceuticals, Inc.;1510;30;;;;
Astrotech Corporation;1133;21;;;;
Grupo Aeroportuario del Sureste, S. A. B. de C. V.;539;50;;;;
Ardmore Shipping Corporation;149;28;;;;
Artesian Resources Corporation;1182;30;;;;
Argos Therapeutics, Inc.;1488;24;;;;
Alpine Total Dynamic Dividend Fund;341;34;;;;
AGNC Investment Corp.;61;21;;;;
Aduro BioTech, Inc.;1469;19;;;;
ACNB Corporation;1382;16;;;;
Advantage Oil & Gas Ltd.;996;24;;;;
American Assets Trust, Inc.;1043;27;;;;
China Southern Airlines Company Limited;116;39;;;;
Universal American Corp.;718;24;;;;
Nippon Telegraph and Telephone Corporation;0;42;;;;
AllianzGI NFJ Dividend, Interest & Premium Strategy Fund;1868;56;;;;
Alliant Energy Corporation;718;26;;;;
Kaiser Aluminum Corporation;397;27;;;;
Home Bancshares, Inc. (Conway, AR);1060;34;;;;
Western Asset High Income Fund II Inc.;1649;38;;;;
First American Financial Corporation;991;36;;;;
First Acceptance Corporation;1067;28;;;;
Entertainment Gaming Asia Inc.;317;30;;;;
China Automotive Systems, Inc.;663;30;;;;
BlackRock Energy and Resources Trust;1726;36;;;;
Amplify Snack Brands, Inc.;193;26;;;;
Aurinia Pharmaceuticals Inc.;558;28;;;;
Acorn International, Inc.;1262;25;;;;
Atlanticus Holdings Corporation;593;31;;;;
Asterias Biotherapeutics, Inc.;1018;30;;;;
ARI Network Services, Inc.;449;26;;;;
Appliance Recycling Centers of America, Inc.;1210;44;;;;
Apple Hospitality REIT, Inc.;982;28;;;;
Sphere 3D Corp.;1498;15;;;;
ANI Pharmaceuticals, Inc.;1578;25;;;;
American Software, Inc.;335;23;;;;
Amerisafe, Inc.;1184;15;;;;
Allot Communications Ltd.;1703;25;;;;
Akari Therapeutics, Plc;192;23;;;;
Agilysys, Inc.;1704;14;;;;
Applied Genetic Technologies Corporation;1652;40;;;;
American Financial Group, Inc.;1251;30;;;;
Adidas AG;1917;9;;;;
Avalanche Biotechnologies, Inc.;1328;31;;;;
Wesco Aircraft Holdings, Inc.;686;29;;;;
Altisource Residential Corporation;327;34;;;;
BrasilAgro - Companhia Brasileira de Propriedades AgrÌcolas;0;59;;;;
LATAM Airlines Group S.A.;1747;25;;;;
Micron Solutions, Inc.;514;22;;;;
Western Asset Emerging Markets Debt Fund Inc.;339;45;;;;
Ellsworth Growth and Income Fund Ltd.;216;37;;;;
Digital Ally, Inc.;375;18;;;;
Credit Suisse Asset Management Income Fund, Inc.;222;48;;;;
BlackRock Enhanced Capital and Income Fund, Inc.;407;48;;;;
China Gerui Advanced Materials Group Ltd.;754;41;;;;
Calamos Dynamic Convertible and Income Fund;864;43;;;;
China Advanced Construction Materials Group, Inc.;1775;49;;;;
The Stars Group Inc.;1735;20;;;;
Aware, Inc.;1696;11;;;;
Aviva plc Subordinated Capital;1077;30;;;;
Aviat Networks, Inc.;455;20;;;;
ATRM Holdings, Inc.;858;19;;;;
AppFolio, Inc.;1000;14;;;;
Affirmative Insurance Holdings Inc.;1301;35;;;;
Albany Molecular Research, Inc.;16;31;;;;
AirMedia Group Inc.;869;19;;;;
Andatee China Marine Fuel Services Corporation;627;46;;;;
Altair Nanotechnologies, Inc.;1543;29;;;;
Allegion plc;331;12;;;;
Aerojet Rocketdyne Holdings, Inc.;1051;33;;;;
Armada Hoffler Properties, Inc.;1884;31;;;;
Federal Agricultural Mortgage Corporation;1185;41;;;;
Argo Group International Holdings, Ltd.;1438;39;;;;
Athens Bancshares Corporation;117;29;;;;
AEP Industries Inc.;172;19;;;;
ADMA Biologics, Inc.;1356;20;;;;
Anchor BanCorp Wisconsin Inc.;1142;29;;;;
Atlantic American Corporation;1812;29;;;;
Telecom Argentina S.A.;1578;22;;;;
Silver Run Acquisition;349;22;;;;
Sino-Global Shipping America, Ltd.;1749;34;;;;
Grupo Aeroportuario del Centro Norte, S. A. B. de C. V.;51;55;;;;
North American Energy Partners Inc.;1843;35;;;;
AllianzGI Convertible & Income Fund II;963;38;;;;
Western Asset Municipal Defined Opportunity Trust Inc.;0;54;;;;
Marine Harvest ASA;856;18;;;;
Jaguar Health, Inc.;1878;19;;;;
Aberdeen Israel Fund, Inc.;973;26;;;;
Western Asset High Income Opportunity Fund Inc.;1331;47;;;;
The Asia Tigers Fund, Inc.;1205;26;;;;
Aberdeen Asia-Pacific Income Fund, Inc.;1393;39;;;;
Reed Elsevier NV;504;16;;;;
AMCON Distributing Company;825;26;;;;
America's Car-Mart, Inc.;745;24;;;;
Cresud Sociedad AnÛnima Comercial, Inmobiliaria, Financiera y Agropecuaria;231;74;;;;
China Green Agriculture, Inc.;324;29;;;;
Morgan Stanley China A Share Fund, Inc.;1880;39;;;;
Atara Biotherapeutics, Inc.;465;27;;;;
A10 Networks, Inc.;568;18;;;;
Alphatec Holdings, Inc.;1148;23;;;;
Aralez Pharmaceuticals Inc.;200;27;;;;
American Railcar Industries, Inc.;1938;33;;;;
Aradigm Corporation;598;19;;;;
Ares Dynamic Credit Allocation Fund, Inc.;154;41;;;;
Arc Logistics Partners LP;410;25;;;;
Digital Turbine, Inc.;966;21;;;;
AmpliPhi Biosciences Corporation;240;32;;;;
Aegean Marine Petroleum Network Inc.;30;36;;;;
American National Insurance Company;1498;35;;;;
Anadigics, Inc.;1362;15;;;;
Achaogen, Inc.;799;14;;;;
Agora Holdings, Inc.;266;20;;;;
American Electric Technologies, Inc;1474;35;;;;
AEGON N.V.;108;10;;;;
Adeptus Health Inc.;244;19;;;;
Adamis Pharmaceuticals Corporation;1532;34;;;;
Aclaris Therapeutics, Inc.;114;26;;;;
American Campus Communities, Inc.;1543;33;;;;
Abeona Therapeutics Inc.;110;24;;;;
Alcentra Capital Corporation;737;28;;;;
REX American Resources Corporation;275;34;;;;
Grupo Aeroportuario del PacÌfico, S.A.B. de C.V.;1753;48;;;;
Navios Maritime Acquisition Corporation;373;39;;;;
National American University Holdings, Inc.;551;43;;;;
Voya Global Equity Dividend and Premium Opportunity Fund;0;56;;;;
Helios and Matheson Analytics Inc.;677;34;;;;
German American Bancorp, Inc.;1217;29;;;;
Wells Fargo Advantage Utilities and High Income Fund;0;52;;;;
Ambassadors Group Inc.;1296;22;;;;
Caesars Acquisition Company;1649;27;;;;
British American Tobacco p.l.c.;1182;31;;;;
Axion Power International, Inc.;819;31;;;;
AllianceBernstein Global High Income Fund;174;41;;;;
AVX Corporation;1414;15;;;;
Asure Software, Inc.;1574;20;;;;
Assembly Biosciences, Inc.;1944;26;;;;
Asta Funding, Inc.;870;18;;;;
Ascent Capital Group, Inc.;1000;26;;;;
Aristocrat Group Corp.;396;22;;;;
Ares Management, L.P.;832;21;;;;
VEREIT, Inc.;1127;12;;;;
Aqua Metals, Inc.;1922;17;;;;
Anchor Bancorp;501;14;;;;
Ameresco, Inc.;1546;14;;;;
AmÈrica MÛvil, S.A.B. de C.V.;463;29;;;;
Asanko Gold Inc.;876;16;;;;
American Financial Group, Inc.;1251;30;;;;
AeroCentury Corp.;638;17;;;;
Active Power, Inc.;248;18;;;;
ARCA biopharma, Inc.;1667;20;;;;
AAC Holdings, Inc.;1566;18;;;;
